eeschema (2013-05-31 BZR 4019)-stable  >> Creation date: 7/23/2013 3:09:43 PM
#Cmp ( order = Reference )
| R2         4.7K        ; Stackpole Electronics; RMCF0603JT4K70; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R3         4.7K        ; Stackpole Electronics; RMCF0603JT4K70; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R4         10K         ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R5         5.6K        ; Stackpole Electronics; RMCF0603JT5K60; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R6         5.6K        ; Stackpole Electronics; RMCF0603JT5K60; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R7         10K         ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R8         10K         ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R9         499K,0.1%   ; Stackpole Electronics; RNCS0805BKE499K; DigiKey     ; $0.77/1, $0.523/10, $0.3162/50;             ;             ;             ;             
| R10        10K         ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R11        4.99K       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| R12        4.99K       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| R13        4.99K       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| R14        4.99K       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| R15        4.99K       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| R16        4.99K       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| R17        4.99K       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| R18        4.99K       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| R19        4.99K       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| R20        4.99K       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| R21        4.99K       ; Stackpole Electronics; RNCS0603BKE4K99; DigiKey     ; $0.70/1, $0.475/10, $0.2876/50;             ;             ;             ;             
| R22        330         ; Stackpole Electronics; RMCF0603JT330R; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R23        330         ; Stackpole Electronics; RMCF0603JT330R; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| R24        10K         ; Stackpole Electronics; RMCF0603JT10K0; DigiKey     ; $0.02/1, $0.017/10, $0.0092/50;             ;             ;             ;             
| S2         SMT_BUTTON  ; C&K Components; KMR231GLFS  ; DigiKey     ; $0.64/1, $0.604/10, $0.5436/25;             ;             ;             ;             
| SJ1        SOLDERJUMPER_2WAYPASTE2&3;             ;             ;             ;             ;             ;             ;             ;             
| SJ2        SOLDERJUMPER_2WAYPASTE2&3;             ;             ;             ;             ;             ;             ;             ;             
| SJ3        SOLDERJUMPERNO;             ;             ;             ;             ;             ;             ;             ;             
| SJ4        SOLDERJUMPERNC2;             ;             ;             ;             ;             ;             ;             ;             
| SJ5        SOLDERJUMPERNC2;             ;             ;             ;             ;             ;             ;             ;             
| U1         24C256      ; Fremont Micro Devices USA; FT24C256A-UMR-B; DigiKey     ; $0.92/1, $0.805/10, $0.7132/25;             ;             ;             ;             
| U2         BEAGLEBONE_BLACK;             ;             ;             ;             ;             ;             ;             ;             
| U3         OPA2376     ; Texas Instruments; OPA2376AIDGKR; DigiKey     ; $2.73/1, $2.462/10, $2.206/25;             ;             ;             ;             
| U4         ADS1299     ; Low-Noise, 8-Channel, 24-Bit Analog Front-End for Biopotential Measurements; Texas Instruments; ADS1299IPAG ; DigiKey     ; $58.14/1    ;             ;             ;             
| U5         TPD4E001    ; Texas Instruments; TPD4E001DBVR; Mouser      ; $0.48/1, $0.36/10;             ;             ;             ;             
| U6         TPD4E001    ; Texas Instruments; TPD4E001DBVR; Mouser      ; $0.48/1, $0.36/10;             ;             ;             ;             
| U7         TPD4E001    ; Texas Instruments; TPD4E001DBVR; Mouser      ; $0.48/1, $0.36/10;             ;             ;             ;             
| U8         ATUC3L064   ; Atmel       ; AT32UC3L064-AUT; DigiKey     ; $7.80/1, $4.898/25;             ;             ;             ;             
| U9         BLUETOOTH-RN42; Microchip Technology; RN42-I/RM   ; DigiKey     ; $19.14/1, $15.95/10;             ;             ;             ;             
| U10        TPS73150    ; Texas Instruments; TPS73150DBVT; DigiKey     ; $1.23/1, $1.091/10, $0.9848/25;             ;             ;             ;             
#End Cmp

#Cmp ( order = Value )
| 1nF          C2        ; Kemet       ; C0603C102K3RACTU; DigiKey     ; $0.10/1, $0.02/10, $0.0108/50;             ;             ;             ;             
| 4.7nF        C20       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
